Mandante,Placar,Visitante,Ano
Atlético Mineiro,2–1,COR,2024
Atlético Mineiro,1–1,CRI,2024
Atlético Mineiro,3–0,CRU,2024
Atlético Mineiro,1–1,CUI,2024
Atlético Mineiro,2–4,FLA,2024
Atlético Mineiro,0–2,FLU,2024
Atlético Mineiro,1–1,FOR,2024
Atlético Mineiro,2–1,GRE,2024
Atlético Mineiro,1–3,INT,2024
Atlético Mineiro,2–3,JUV,2024
Atlético Mineiro,0–4,PAL,2024
Atlético Mineiro,3–0,RBB,2024
Atlético Mineiro,2–1,SPA,2024
Atlético Mineiro,2–0,VAS,2024
Atlético Mineiro,2–2,VIT,2024
Bahia,1–1,ATP,2024
Bahia,2–0,ATG,2024
Bahia,3–0,ATM,2024
Bahia,0–0,BOT,2024
Bahia,0–1,COR,2024
Bahia,1–0,CRI,2024
Bahia,4–1,CRU,2024
Bahia,1–2,CUI,2024
Bahia,0–2,FLA,2024
Bahia,2–1,FLU,2024
Bahia,1–0,FOR,2024
Bahia,1–0,GRE,2024
Bahia,1–1,INT,2024
Bahia,2–0,JUV,2024
Bahia,1–2,PAL,2024
Bahia,1–0,RBB,2024
Bahia,0–3,SPA,2024
Bahia,2–1,VAS,2024
Bahia,2–0,VIT,2024
Botafogo,1–1,ATP,2024
Botafogo,1–0,ATG,2024
Botafogo,3–0,ATM,2024
Botafogo,1–2,BAH,2024
Botafogo,2–1,COR,2024
Botafogo,1–1,CRI,2024
Botafogo,0–3,CRU,2024
Botafogo,0–0,CUI,2024
Botafogo,4–1,FLA,2024
Botafogo,1–0,FLU,2024
Botafogo,2–0,FOR,2024
Botafogo,0–0,GRE,2024
Botafogo,1–0,INT,2024
Botafogo,5–1,JUV,2024
Botafogo,1–0,PAL,2024
Botafogo,2–1,RBB,2024
Botafogo,2–1,SPA,2024
Botafogo,3–0,VAS,2024
Botafogo,1–1,VIT,2024
Corinthians,5–2,ATP,2024
Corinthians,3–0,ATG,2024
Corinthians,0–0,ATM,2024
Corinthians,3–0,BAH,2024
Corinthians,0–1,BOT,2024
Corinthians,2–1,CRI,2024
Corinthians,2–1,CRU,2024
Corinthians,1–1,CUI,2024
Corinthians,2–1,FLA,2024
Corinthians,3–0,FLU,2024
Corinthians,0–0,FOR,2024
Corinthians,2–2,GRE,2024
Corinthians,2–2,INT,2024
Corinthians,1–1,JUV,2024
Corinthians,2–0,PAL,2024
Corinthians,1–1,RBB,2024
Corinthians,2–2,SPA,2024
Corinthians,3–1,VAS,2024
Corinthians,3–2,VIT,2024
Criciúma,0–0,ATP,2024
Criciúma,2–0,ATG,2024
Criciúma,2–1,ATM,2024
Criciúma,2–2,BAH,2024
Criciúma,2–1,BOT,2024
Criciúma,2–4,COR,2024
Criciúma,1–0,CRU,2024
Criciúma,2–5,CUI,2024
Criciúma,0–3,FLA,2024
Criciúma,1–1,FLU,2024
